agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,0.598,-250.0
MM_0,MarketMaker,0.899,750.0
MM_0,MarketMaker,1.674,0.0
MM_0,MarketMaker,1.977,1000.0
MM_0,MarketMaker,2.532,2000.0
MM_0,MarketMaker,3.339,1750.0
MM_0,MarketMaker,4.77,2250.0
MM_0,MarketMaker,5.004,1500.0
MM_0,MarketMaker,5.303,2500.0
MM_0,MarketMaker,5.559,2497.5
MM_0,MarketMaker,5.606,2495.0
MM_0,MarketMaker,5.657,2495.5
MM_0,MarketMaker,5.81,2496.0
MM_0,MarketMaker,5.861,2496.5
MM_0,MarketMaker,5.873,2504.5
MM_0,MarketMaker,5.873,2506.5
MM_0,MarketMaker,5.913,2508.5
MM_0,MarketMaker,5.959,2510.5
MM_0,MarketMaker,6.011,2511.0
MM_0,MarketMaker,6.013,2511.5
MM_0,MarketMaker,6.014,2512.0
MM_0,MarketMaker,6.061,2512.5
MM_0,MarketMaker,6.064,2513.0
MM_0,MarketMaker,6.134,2346.0
MM_0,MarketMaker,6.135,2263.0
MM_0,MarketMaker,6.135,2346.0
MM_0,MarketMaker,6.418,2346.5
MM_0,MarketMaker,6.419,2347.0
MM_0,MarketMaker,6.431,2512.5
MM_0,MarketMaker,6.668,2341.0
MM_0,MarketMaker,6.67,2340.5
MM_0,MarketMaker,6.67,2340.0
MM_0,MarketMaker,6.67,2339.5
MM_0,MarketMaker,6.67,2339.0
MM_0,MarketMaker,6.67,2337.5
MM_0,MarketMaker,6.67,2336.0
MM_0,MarketMaker,6.67,2334.5
MM_0,MarketMaker,6.67,2333.0
MM_0,MarketMaker,6.721,2331.5
MM_0,MarketMaker,6.775,2333.0
MM_0,MarketMaker,6.823,2334.5
MM_0,MarketMaker,6.826,2336.0
MM_0,MarketMaker,6.877,2337.0
MM_0,MarketMaker,7.027,2338.5
MM_0,MarketMaker,7.359,2346.0
MM_0,MarketMaker,7.359,2351.0
MM_0,MarketMaker,7.483,2353.0
MM_0,MarketMaker,7.797,1861.0
MM_0,MarketMaker,7.799,1860.0
MM_0,MarketMaker,7.799,1859.0
MM_0,MarketMaker,7.799,1858.0
MM_0,MarketMaker,7.799,1857.0
MM_0,MarketMaker,7.799,1856.0
MM_0,MarketMaker,7.799,1855.0
MM_0,MarketMaker,7.799,1854.0
MM_0,MarketMaker,7.799,1853.0
MM_0,MarketMaker,7.86,1873.0
MM_0,MarketMaker,7.889,1874.5
MM_0,MarketMaker,7.889,1876.0
MM_0,MarketMaker,7.937,1877.5
MM_0,MarketMaker,8.145,1879.5
MM_0,MarketMaker,8.146,1881.5
MM_0,MarketMaker,8.192,1883.5
MM_0,MarketMaker,8.354,1882.0
MM_0,MarketMaker,8.354,1880.5
MM_0,MarketMaker,8.354,1879.0
MM_0,MarketMaker,8.354,1877.5
MM_0,MarketMaker,8.354,1876.0
MM_0,MarketMaker,8.354,1874.5
MM_0,MarketMaker,8.354,1873.0
MM_0,MarketMaker,8.354,1871.5
MM_0,MarketMaker,8.354,1870.0
MM_0,MarketMaker,8.354,1868.5
MM_0,MarketMaker,8.354,1867.0
MM_0,MarketMaker,8.395,1865.5
MM_0,MarketMaker,8.447,1864.0
MM_0,MarketMaker,8.497,1864.5
MM_0,MarketMaker,8.545,1865.0
MM_0,MarketMaker,8.547,1865.5
MM_0,MarketMaker,8.596,1866.0
MM_0,MarketMaker,8.7,1866.5
MM_0,MarketMaker,8.749,1867.0
MM_0,MarketMaker,8.75,1867.5
MM_0,MarketMaker,8.798,1868.0
MM_0,MarketMaker,8.852,1868.5
MM_0,MarketMaker,8.953,1869.0
MM_0,MarketMaker,9.105,1869.5
MM_0,MarketMaker,9.155,1870.0
MM_0,MarketMaker,9.205,1870.5
MM_0,MarketMaker,9.256,1871.0
MM_0,MarketMaker,9.308,1871.5
MM_0,MarketMaker,9.324,1874.5
MM_0,MarketMaker,9.476,1963.0
MM_0,MarketMaker,9.548,1964.0
MM_0,MarketMaker,9.755,2287.0
MM_0,MarketMaker,9.759,2288.0
MM_0,MarketMaker,9.761,2289.0
MM_0,MarketMaker,9.81,2290.0
MM_0,MarketMaker,9.811,2291.0
MM_0,MarketMaker,9.812,2292.0
MM_0,MarketMaker,9.861,2293.0
MM_0,MarketMaker,9.861,2294.0
MM_0,MarketMaker,9.863,2295.0
MM_0,MarketMaker,9.912,2296.0
MM_0,MarketMaker,9.962,2297.0
MM_0,MarketMaker,9.964,2298.0
MM_0,MarketMaker,10.467,2298.5
MM_0,MarketMaker,10.47,2299.0
MM_0,MarketMaker,10.489,2301.5
MM_0,MarketMaker,10.489,2302.5
MM_0,MarketMaker,10.518,2303.0
MM_0,MarketMaker,10.572,2303.5
MM_0,MarketMaker,10.62,2304.0
MM_0,MarketMaker,10.67,2304.5
MM_0,MarketMaker,10.672,2305.0
MM_0,MarketMaker,10.72,2305.5
MM_0,MarketMaker,10.721,2306.0
MM_0,MarketMaker,10.722,2306.5
MM_0,MarketMaker,10.771,2307.0
MM_0,MarketMaker,10.821,2307.5
MM_0,MarketMaker,10.823,2308.0
