agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,0.631,-250.0
MM_0,MarketMaker,0.631,0.0
MM_0,MarketMaker,2.033,500.0
MM_0,MarketMaker,2.261,-250.0
MM_0,MarketMaker,2.261,500.0
MM_0,MarketMaker,4.819,750.0
MM_0,MarketMaker,5.044,-250.0
MM_0,MarketMaker,5.593,-251.0
MM_0,MarketMaker,5.644,-252.0
MM_0,MarketMaker,5.647,-253.0
MM_0,MarketMaker,5.697,-252.5
MM_0,MarketMaker,5.749,-252.0
MM_0,MarketMaker,5.8,-251.5
MM_0,MarketMaker,5.846,-251.0
MM_0,MarketMaker,5.85,-250.5
MM_0,MarketMaker,5.853,-250.0
MM_0,MarketMaker,5.998,-249.5
MM_0,MarketMaker,6.002,-249.0
MM_0,MarketMaker,6.052,-248.5
MM_0,MarketMaker,6.055,-248.0
MM_0,MarketMaker,6.15,-247.5
MM_0,MarketMaker,6.154,-247.0
MM_0,MarketMaker,6.155,-246.5
MM_0,MarketMaker,6.188,-240.0
MM_0,MarketMaker,6.205,-239.5
MM_0,MarketMaker,6.305,-239.0
MM_0,MarketMaker,6.353,-238.5
MM_0,MarketMaker,6.404,-238.0
MM_0,MarketMaker,6.409,-237.5
MM_0,MarketMaker,6.457,-237.0
MM_0,MarketMaker,6.509,-236.0
MM_0,MarketMaker,6.607,-235.0
MM_0,MarketMaker,6.611,-234.0
MM_0,MarketMaker,6.657,-233.0
MM_0,MarketMaker,7.01,-232.0
MM_0,MarketMaker,7.013,-231.0
MM_0,MarketMaker,7.111,-230.0
MM_0,MarketMaker,7.166,-229.0
MM_0,MarketMaker,7.203,-224.0
MM_0,MarketMaker,7.203,-223.0
MM_0,MarketMaker,7.213,-222.0
MM_0,MarketMaker,7.215,-221.0
MM_0,MarketMaker,7.217,-220.0
MM_0,MarketMaker,7.331,-219.0
MM_0,MarketMaker,7.379,-217.0
MM_0,MarketMaker,7.672,-216.0
MM_0,MarketMaker,7.72,-215.5
MM_0,MarketMaker,7.722,-215.0
MM_0,MarketMaker,7.771,-214.5
MM_0,MarketMaker,7.773,-214.0
MM_0,MarketMaker,8.129,-209.5
MM_0,MarketMaker,8.144,-125.5
MM_0,MarketMaker,8.387,-271.5
MM_0,MarketMaker,8.39,-272.5
MM_0,MarketMaker,8.39,-273.5
MM_0,MarketMaker,8.391,-605.5
MM_0,MarketMaker,8.391,-273.5
MM_0,MarketMaker,8.391,-274.5
MM_0,MarketMaker,8.391,-276.5
MM_0,MarketMaker,8.391,-278.5
MM_0,MarketMaker,8.391,-280.5
MM_0,MarketMaker,8.391,-282.5
MM_0,MarketMaker,8.391,-284.5
MM_0,MarketMaker,8.391,-286.5
MM_0,MarketMaker,8.391,-288.5
MM_0,MarketMaker,8.391,-290.5
MM_0,MarketMaker,8.391,-292.5
MM_0,MarketMaker,8.391,-294.5
MM_0,MarketMaker,8.391,-296.5
MM_0,MarketMaker,8.391,-299.5
MM_0,MarketMaker,8.391,-302.5
MM_0,MarketMaker,8.391,-305.5
MM_0,MarketMaker,8.391,-308.5
MM_0,MarketMaker,8.391,-311.5
MM_0,MarketMaker,8.391,-314.5
MM_0,MarketMaker,8.391,-317.5
MM_0,MarketMaker,8.391,-320.5
MM_0,MarketMaker,8.687,-68.5
MM_0,MarketMaker,8.919,-152.5
MM_0,MarketMaker,8.922,-155.5
MM_0,MarketMaker,8.922,-159.5
MM_0,MarketMaker,8.922,-163.5
MM_0,MarketMaker,8.922,-167.5
MM_0,MarketMaker,8.922,-171.5
MM_0,MarketMaker,8.922,-175.5
MM_0,MarketMaker,8.922,-179.5
MM_0,MarketMaker,8.922,-183.5
MM_0,MarketMaker,8.922,-2019.5
MM_0,MarketMaker,8.922,-183.5
MM_0,MarketMaker,8.922,-187.5
MM_0,MarketMaker,8.922,-191.5
MM_0,MarketMaker,8.922,-195.5
MM_0,MarketMaker,8.922,-199.5
MM_0,MarketMaker,8.922,-203.5
MM_0,MarketMaker,8.951,-199.5
MM_0,MarketMaker,8.952,-195.5
MM_0,MarketMaker,8.966,-191.5
MM_0,MarketMaker,9.003,-187.5
MM_0,MarketMaker,9.003,-183.5
MM_0,MarketMaker,9.016,-179.5
MM_0,MarketMaker,9.054,-178.5
MM_0,MarketMaker,9.054,-177.5
MM_0,MarketMaker,9.068,-176.5
MM_0,MarketMaker,9.104,-175.5
MM_0,MarketMaker,9.118,-174.5
MM_0,MarketMaker,9.155,-173.5
MM_0,MarketMaker,9.155,-172.5
MM_0,MarketMaker,9.206,-171.5
MM_0,MarketMaker,9.206,-170.5
MM_0,MarketMaker,9.213,-144.5
MM_0,MarketMaker,9.641,-142.5
MM_0,MarketMaker,9.776,-55.0
MM_0,MarketMaker,10.018,-111.5
MM_0,MarketMaker,10.02,-112.0
MM_0,MarketMaker,10.02,-272.5
MM_0,MarketMaker,10.02,-112.0
MM_0,MarketMaker,10.02,-112.5
MM_0,MarketMaker,10.02,-114.0
MM_0,MarketMaker,10.02,-115.5
MM_0,MarketMaker,10.02,-117.0
MM_0,MarketMaker,10.02,-118.5
MM_0,MarketMaker,10.02,-120.0
MM_0,MarketMaker,10.02,-121.5
MM_0,MarketMaker,10.02,-123.0
