agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,1.7,-500.0
MM_0,MarketMaker,1.701,0.0
MM_0,MarketMaker,2.234,-750.0
MM_0,MarketMaker,2.809,-1250.0
MM_0,MarketMaker,3.914,-1500.0
MM_0,MarketMaker,3.914,-1250.0
MM_0,MarketMaker,5.021,-2250.0
MM_0,MarketMaker,5.021,-1250.0
MM_0,MarketMaker,5.407,750.0
MM_0,MarketMaker,5.708,750.5
MM_0,MarketMaker,5.709,751.0
MM_0,MarketMaker,5.761,751.5
MM_0,MarketMaker,5.763,752.0
MM_0,MarketMaker,5.809,752.5
MM_0,MarketMaker,5.861,753.0
MM_0,MarketMaker,6.164,753.5
MM_0,MarketMaker,6.213,754.0
MM_0,MarketMaker,6.216,754.5
MM_0,MarketMaker,6.263,755.0
MM_0,MarketMaker,6.264,755.5
MM_0,MarketMaker,6.313,756.0
MM_0,MarketMaker,6.314,756.5
MM_0,MarketMaker,6.317,757.0
MM_0,MarketMaker,6.364,757.5
MM_0,MarketMaker,6.365,758.0
MM_0,MarketMaker,6.367,758.5
MM_0,MarketMaker,6.417,759.0
MM_0,MarketMaker,6.464,759.5
MM_0,MarketMaker,6.466,760.0
MM_0,MarketMaker,6.467,760.5
MM_0,MarketMaker,6.514,1003.0
MM_0,MarketMaker,6.895,1004.0
MM_0,MarketMaker,6.895,1005.0
MM_0,MarketMaker,6.945,1006.0
MM_0,MarketMaker,6.945,1007.0
MM_0,MarketMaker,6.993,1008.0
MM_0,MarketMaker,6.995,1009.0
MM_0,MarketMaker,6.995,1010.0
MM_0,MarketMaker,7.044,1011.5
MM_0,MarketMaker,7.046,1013.0
MM_0,MarketMaker,7.046,1014.5
MM_0,MarketMaker,7.066,1749.5
MM_0,MarketMaker,7.225,1749.0
MM_0,MarketMaker,7.225,1748.5
MM_0,MarketMaker,7.225,1748.0
MM_0,MarketMaker,7.225,1747.5
MM_0,MarketMaker,7.227,1741.5
MM_0,MarketMaker,7.248,1741.0
MM_0,MarketMaker,7.296,1740.5
MM_0,MarketMaker,7.298,1740.0
MM_0,MarketMaker,7.396,1740.5
MM_0,MarketMaker,7.491,1749.5
MM_0,MarketMaker,7.552,1750.0
MM_0,MarketMaker,7.704,1750.5
MM_0,MarketMaker,7.755,1751.0
MM_0,MarketMaker,7.812,1757.0
MM_0,MarketMaker,7.854,1757.5
MM_0,MarketMaker,8.161,1758.0
MM_0,MarketMaker,8.218,1758.5
MM_0,MarketMaker,8.279,1762.0
MM_0,MarketMaker,8.358,1597.0
MM_0,MarketMaker,8.363,1596.5
MM_0,MarketMaker,8.363,1512.0
MM_0,MarketMaker,8.363,1596.5
MM_0,MarketMaker,8.699,1597.0
MM_0,MarketMaker,8.699,1597.5
MM_0,MarketMaker,8.747,1761.5
MM_0,MarketMaker,9.069,1762.0
MM_0,MarketMaker,9.108,1762.5
MM_0,MarketMaker,9.116,1763.0
MM_0,MarketMaker,9.267,1763.5
MM_0,MarketMaker,9.359,1764.0
MM_0,MarketMaker,9.368,1764.5
MM_0,MarketMaker,9.419,1765.0
MM_0,MarketMaker,9.519,1765.5
MM_0,MarketMaker,9.561,1766.5
MM_0,MarketMaker,9.663,1767.5
MM_0,MarketMaker,9.713,1768.5
MM_0,MarketMaker,9.827,1783.5
MM_0,MarketMaker,9.842,1788.0
MM_0,MarketMaker,10.381,1788.5
MM_0,MarketMaker,10.406,2036.5
MM_0,MarketMaker,10.575,2035.5
MM_0,MarketMaker,10.578,2035.5
MM_0,MarketMaker,10.579,2035.5
MM_0,MarketMaker,10.579,2035.5
MM_0,MarketMaker,10.579,2035.5
MM_0,MarketMaker,10.579,2035.5
MM_0,MarketMaker,10.579,2035.5
MM_0,MarketMaker,10.579,2035.5
MM_0,MarketMaker,10.579,2035.5
MM_0,MarketMaker,10.579,2035.5
MM_0,MarketMaker,10.579,2035.5
MM_0,MarketMaker,10.579,2034.5
MM_0,MarketMaker,10.579,2033.5
MM_0,MarketMaker,10.579,2032.5
MM_0,MarketMaker,10.579,2031.5
MM_0,MarketMaker,10.579,2030.5
MM_0,MarketMaker,10.579,2029.5
MM_0,MarketMaker,10.579,2028.5
MM_0,MarketMaker,10.579,2027.5
MM_0,MarketMaker,10.579,2026.5
MM_0,MarketMaker,10.579,2025.5
MM_0,MarketMaker,10.579,2024.5
MM_0,MarketMaker,10.579,2023.5
MM_0,MarketMaker,10.579,2022.5
MM_0,MarketMaker,10.579,2021.5
MM_0,MarketMaker,10.579,2020.5
MM_0,MarketMaker,10.579,2019.5
MM_0,MarketMaker,10.579,2018.5
MM_0,MarketMaker,10.579,2016.5
MM_0,MarketMaker,10.579,2014.5
MM_0,MarketMaker,10.579,1380.5
