agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,2.5,250.0
MM_0,MarketMaker,2.727,-250.0
MM_0,MarketMaker,3.826,-1000.0
MM_0,MarketMaker,3.826,-250.0
MM_0,MarketMaker,5.791,-249.0
MM_0,MarketMaker,5.8,-248.0
MM_0,MarketMaker,5.862,-247.0
MM_0,MarketMaker,5.926,-245.0
MM_0,MarketMaker,6.204,-240.0
MM_0,MarketMaker,6.298,-114.0
MM_0,MarketMaker,6.658,-320.0
MM_0,MarketMaker,6.659,-613.0
MM_0,MarketMaker,6.659,-320.0
MM_0,MarketMaker,6.659,-321.0
MM_0,MarketMaker,6.667,-320.0
MM_0,MarketMaker,6.669,-319.0
MM_0,MarketMaker,6.727,-318.0
MM_0,MarketMaker,6.738,-317.0
MM_0,MarketMaker,6.738,-316.0
MM_0,MarketMaker,6.799,-315.0
MM_0,MarketMaker,6.81,-314.0
MM_0,MarketMaker,6.81,-313.0
MM_0,MarketMaker,6.871,-311.5
MM_0,MarketMaker,6.883,-310.0
MM_0,MarketMaker,6.883,-308.5
MM_0,MarketMaker,6.884,-211.0
MM_0,MarketMaker,6.884,454.0
MM_0,MarketMaker,6.944,456.0
MM_0,MarketMaker,6.955,458.0
MM_0,MarketMaker,6.955,460.0
MM_0,MarketMaker,7.016,462.0
MM_0,MarketMaker,7.027,464.0
MM_0,MarketMaker,7.028,466.0
MM_0,MarketMaker,7.088,468.0
MM_0,MarketMaker,7.1,470.0
MM_0,MarketMaker,7.1,472.0
MM_0,MarketMaker,7.16,474.0
MM_0,MarketMaker,7.171,476.0
MM_0,MarketMaker,7.172,478.0
MM_0,MarketMaker,7.19,34.0
MM_0,MarketMaker,7.191,478.0
MM_0,MarketMaker,7.191,180.0
MM_0,MarketMaker,7.191,-78.0
MM_0,MarketMaker,8.939,-77.5
MM_0,MarketMaker,9.374,-125.5
MM_0,MarketMaker,9.375,-126.0
MM_0,MarketMaker,9.375,-1131.0
MM_0,MarketMaker,9.375,-126.0
MM_0,MarketMaker,9.375,-128.5
MM_0,MarketMaker,9.415,-127.0
MM_0,MarketMaker,9.587,-125.5
MM_0,MarketMaker,9.607,114.5
MM_0,MarketMaker,9.648,115.0
MM_0,MarketMaker,9.648,115.5
MM_0,MarketMaker,10.239,116.0
MM_0,MarketMaker,10.301,116.5
MM_0,MarketMaker,10.302,117.0
MM_0,MarketMaker,10.376,117.5
MM_0,MarketMaker,10.676,118.0
MM_0,MarketMaker,10.709,268.0
MM_0,MarketMaker,10.709,318.0
MM_0,MarketMaker,10.726,318.5
MM_0,MarketMaker,10.738,319.0
MM_0,MarketMaker,10.748,319.5
MM_0,MarketMaker,10.8,320.0
MM_0,MarketMaker,10.811,320.5
MM_0,MarketMaker,10.872,321.0
MM_0,MarketMaker,10.883,321.5
MM_0,MarketMaker,10.894,322.0
MM_0,MarketMaker,10.945,322.5
MM_0,MarketMaker,10.955,323.0
MM_0,MarketMaker,10.956,323.5
MM_0,MarketMaker,11.242,326.5
MM_0,MarketMaker,11.315,328.5
MM_0,MarketMaker,11.39,329.5
MM_0,MarketMaker,11.452,330.5
MM_0,MarketMaker,11.463,331.5
MM_0,MarketMaker,11.619,332.5
MM_0,MarketMaker,11.812,333.5
MM_0,MarketMaker,11.814,343.5
MM_0,MarketMaker,11.839,351.5
MM_0,MarketMaker,11.883,352.5
MM_0,MarketMaker,11.895,353.0
MM_0,MarketMaker,11.958,353.5
MM_0,MarketMaker,11.97,354.5
MM_0,MarketMaker,11.98,355.5
MM_0,MarketMaker,12.031,356.5
MM_0,MarketMaker,12.102,357.0
MM_0,MarketMaker,12.123,357.5
MM_0,MarketMaker,12.185,358.0
MM_0,MarketMaker,12.196,358.5
MM_0,MarketMaker,12.257,359.0
MM_0,MarketMaker,12.33,359.5
MM_0,MarketMaker,12.341,360.0
MM_0,MarketMaker,12.378,607.5
MM_0,MarketMaker,12.378,612.0
MM_0,MarketMaker,12.392,613.0
MM_0,MarketMaker,12.404,614.0
MM_0,MarketMaker,12.404,615.0
MM_0,MarketMaker,12.466,616.0
MM_0,MarketMaker,12.476,617.0
MM_0,MarketMaker,12.477,618.0
MM_0,MarketMaker,12.538,619.0
MM_0,MarketMaker,12.549,620.0
MM_0,MarketMaker,12.549,621.0
MM_0,MarketMaker,12.612,622.0
MM_0,MarketMaker,12.625,623.0
MM_0,MarketMaker,12.625,624.0
MM_0,MarketMaker,12.663,129.0
MM_0,MarketMaker,12.663,624.0
MM_0,MarketMaker,12.663,369.0
MM_0,MarketMaker,12.684,370.5
MM_0,MarketMaker,12.697,372.0
MM_0,MarketMaker,12.697,373.5
MM_0,MarketMaker,12.735,376.5
MM_0,MarketMaker,12.757,378.0
MM_0,MarketMaker,12.769,379.5
MM_0,MarketMaker,12.769,381.0
MM_0,MarketMaker,12.773,393.0
MM_0,MarketMaker,12.83,394.5
MM_0,MarketMaker,12.841,396.0
MM_0,MarketMaker,12.842,397.5
MM_0,MarketMaker,12.902,399.0
MM_0,MarketMaker,12.914,400.5
MM_0,MarketMaker,12.914,402.0
MM_0,MarketMaker,12.933,597.0
MM_0,MarketMaker,12.933,1239.5
MM_0,MarketMaker,12.974,1241.5
MM_0,MarketMaker,12.985,1243.5
MM_0,MarketMaker,12.985,1245.5
MM_0,MarketMaker,12.999,1271.5
MM_0,MarketMaker,13.047,1273.5
MM_0,MarketMaker,13.059,1274.0
MM_0,MarketMaker,13.132,1274.5
MM_0,MarketMaker,13.143,1275.0
MM_0,MarketMaker,13.196,1052.0
MM_0,MarketMaker,13.196,1275.0
MM_0,MarketMaker,13.196,998.0
MM_0,MarketMaker,13.717,997.0
MM_0,MarketMaker,13.717,996.0
MM_0,MarketMaker,13.724,997.0
MM_0,MarketMaker,13.787,997.5
MM_0,MarketMaker,13.86,998.5
MM_0,MarketMaker,13.923,999.5
MM_0,MarketMaker,13.935,1000.5
MM_0,MarketMaker,14.035,1001.5
MM_0,MarketMaker,14.079,1002.5
MM_0,MarketMaker,14.213,1003.5
MM_0,MarketMaker,14.224,1004.5
MM_0,MarketMaker,14.298,1005.5
MM_0,MarketMaker,14.358,1006.5
MM_0,MarketMaker,14.37,1007.5
MM_0,MarketMaker,14.37,1008.5
MM_0,MarketMaker,14.439,1012.5
